Name,Date,Distance_km,Moving_Time_min,Average_HR,Elevation_m
Evening Weight Training,2026-02-27T14:55:15Z,0.0,37.93333333333333,115.2,0
Evening Walk,2026-02-25T15:29:30Z,3.579,45.333333333333336,100.2,0.0
Morning Weight Training,2026-02-25T02:57:38Z,0.0,31.45,110.9,0
Evening Run,2026-02-24T14:05:40Z,7.5478000000000005,45.28333333333333,144.9,0
Morning Run,2026-02-23T02:10:25Z,5.381,34.35,143.8,0.0
Morning Yoga,2026-02-22T02:58:20Z,0.0,17.333333333333332,112.8,0
Morning Run - BHEL,2026-02-22T00:42:29Z,14.5831,90.76666666666667,145.2,65.0
Morning Weight Training,2026-02-20T04:48:38Z,0.0,41.4,119.8,0
Morning Run,2026-02-15T01:35:09Z,0.5142,5.233333333333333,109.6,0.0
Evening Weight Training,2026-02-13T13:35:19Z,0.0,51.88333333333333,96.1,0
Morning Weight Training,2026-02-11T04:49:36Z,0.0,39.416666666666664,112.8,0
Morning Run - Nallagandla SLR,2026-02-08T00:19:30Z,21.82,131.83333333333334,140.3,72.0
Morning Run - Botanical gardens,2026-02-07T01:41:39Z,10.422,66.16666666666667,151.7,59.0
Evening Walk,2026-02-06T14:17:08Z,5.1253,61.96666666666667,100.3,5.0
Afternoon Weight Training,2026-02-06T08:51:52Z,0.0,39.36666666666667,116.5,0
Night Walk,2026-02-05T15:54:58Z,1.8849,27.683333333333334,105.3,0.0
Morning Yoga,2026-02-05T02:49:37Z,0.0,13.9,103.8,0
Morning Run,2026-02-05T01:26:33Z,9.146,57.233333333333334,149.2,27.0
Evening Walk,2026-02-04T13:43:42Z,1.509,20.4,104.5,0.0
Morning Run - Botanical gardens,2026-02-04T04:37:22Z,7.6789,49.05,148.7,40.0
Morning Weight Training,2026-02-04T01:47:42Z,0.0,35.53333333333333,97.1,0
Relaxed 12K run,2026-02-03T04:51:17Z,12.031,81.66666666666667,140.7,4.0
Night Walk,2026-02-02T16:23:43Z,1.1489,16.833333333333332,83.2,0.0
